"ALP10,ALASAAD,,218,SYP,""1,735,766.00"",""322,830.00"",""829,187.00"",0,""2,887,783.00"",0,""2,887,783.00"",Detail",report_from_date,report_to_date
"DAM84,HOMS SALES OFFICE,,9633116,SYP,""18,273,114.00"",""5,975,886.00"",""8,692,798.00"",0,""79,074,521.00"",""46,132,723.00"",""32,941,798.00"",Detail",,
"DAM84,HOMS SALES OFFICE,,9633116,USD,470.4,184.49,555,0,""1,209.89"",0,""1,209.89"",Detail",,
"DAM87,SHAM WATFEH,,172,SYP,""66,356,329.00"",""15,033,051.00"",""40,630,191.00"",0,""122,019,571.00"",0,""122,019,571.00"",Detail",,
"DAM87,SHAM WATFEH,,172,USD,0,0,0,0,0,0,0,Detail",,
"DAM95,SYRIA LINK,,180,SYP,""214,490,657.00"",""56,021,210.00"",""156,218,935.00"",0,""436,119,083.00"",""9,388,281.00"",""426,730,802.00"",Detail",,
"DAM95,SYRIA LINK,,180,USD,0,0,0,0,0,0,0,Detail",,
"DAM96,MASA,,181,SYP,""48,948,589.00"",""13,062,463.00"",""35,157,548.00"",0,""97,168,600.00"",0,""97,168,600.00"",Detail",,
"DAM96,MASA,,181,USD,0,0,0,0,0,0,0,Detail",,
"DAM98,ASLAN,,188,SYP,""267,081,394.00"",""64,112,952.00"",""196,885,038.00"",0,""530,708,129.00"",""2,628,745.00"",""528,079,384.00"",Detail",,
"DAM98,ASLAN,,188,USD,0,0,0,0,0,0,0,Detail",,
"DEZ2,MARI,,149,USD,0,0,0,0,0,0,0,Detail",,
"DEZ4,ATIEA,,185,SYP,""818,132.00"",""305,804.00"",""1,326,700.00"",0,""2,450,636.00"",0,""2,450,636.00"",Detail",,
"DEZ6,ALNEMR TRAVEL,,243,SYP,""12,321,723.00"",""2,024,766.00"",""4,145,938.00"",0,""18,492,427.00"",0,""18,492,427.00"",Detail",,
"DOH1,RB DOH OFFICE,,none,USD,0,0,0,0,0,0,0,Detail",,
"DXB10,AIRLINK INTERNATIONAL UAE,,DXB0001,AED,""1,187.00"",229,""1,099.00"",0,""2,515.00"",0,""2,515.00"",Detail",,
"DXB10,AIRLINK INTERNATIONAL UAE,,DXB0001,USD,0,0,0,0,0,0,0,Detail",,
"DXB11,PACK & GO TRAVEL TOURISM LLC,,DXB0002,AED,""14,883.00"",""6,078.00"",""23,690.00"",0,""44,651.00"",0,""44,651.00"",Detail",,
