agent_code,agent_name,current_sale_usd,ytd_sale_month_usd,ytd_sale_usd,report_from_date,report_to_date
DAM197,babylon usd,231.18,231.18,1881.47,2025-08-01,2025-08-25
IST17,bon voyage,6746.76,6746.76,8315.45,2025-08-01,2025-08-25
IST6,emir istanbul,41291.33,41291.33,288792.18,2025-08-01,2025-08-25
AUH34,enigma fot travel,8938.99,8938.99,195631.44,2025-08-01,2025-08-25
IST2,esb travel,1458.27,1458.27,1708.07,2025-08-01,2025-08-25
IST7,experts,24110.46,24110.46,135108.23,2025-08-01,2025-08-25
DAM192,gilgamesh diamond,9695.0,9695.0,36122.56,2025-08-01,2025-08-25
DAM202,gilgamish diamond usd,4880.33,4880.33,4880.33,2025-08-01,2025-08-25
IST5,hamdan group,21613.3,21613.3,441045.66,2025-08-01,2025-08-25
IST4,ila tourism,1139.79,1139.79,15878.22,2025-08-01,2025-08-25
DAM199,jabri,11905.1,11905.1,21064.89,2025-08-01,2025-08-25
DAM200,jabri usd,14214.06,14214.06,21565.98,2025-08-01,2025-08-25
IST8,kral,8802.39,8802.39,55123.55,2025-08-01,2025-08-25
DAM189,mawakeb alsharq usd,7897.26,7897.26,68822.28,2025-08-01,2025-08-25
IST3,moto tour,7483.14,7483.14,45584.51,2025-08-01,2025-08-25
IST10,nusuk,10991.03,10991.03,65106.97,2025-08-01,2025-08-25
AUH35,options holidays,1177.14,1177.14,16500.35,2025-08-01,2025-08-25
DAM187,orfali usd,10477.23,10477.23,85078.99,2025-08-01,2025-08-25
IST1,road makers travel tourism,12062.19,12062.19,127848.07,2025-08-01,2025-08-25
DAM195,shilan usd,3478.01,3478.01,7797.14,2025-08-01,2025-08-25
DXB81,sunchaser travel,5175.96,5175.96,19207.67,2025-08-01,2025-08-25
DAM190,syria link usd,63930.41,63930.41,289063.15,2025-08-01,2025-08-25
DAM186,syrian travel &touriisim usd,177478.04,177478.04,1343584.19,2025-08-01,2025-08-25
DAM194,taj almasa usd,30069.23,30069.23,125148.11,2025-08-01,2025-08-25
DXB83,tariq alkaiser travel,3053.5,3053.5,4952.52,2025-08-01,2025-08-25
IST16,top torch,3050.35,3050.35,14743.8,2025-08-01,2025-08-25
IST9,uranus,24157.2,24157.2,111304.13,2025-08-01,2025-08-25
DAM207,world link usd,3038.3,3038.3,3038.3,2025-08-01,2025-08-25
DAM193,yas usd,10393.74,10393.74,41506.99,2025-08-01,2025-08-25
KWI13,ALMALEK ALDAARI,92909.33,92909.33,1634719.02,2025-08-01,2025-08-25
ALP4,ALMALLA,5955.36,5955.36,13314.35,2025-08-01,2025-08-25
QDR8,ALMANASEK,246.71,246.71,856.1,2025-08-01,2025-08-25
QHS3,ALMOHTARIF,7080.18,7080.18,40104.62,2025-08-01,2025-08-25
AUH10,ALMOUED,1625.94,1625.94,10728.21,2025-08-01,2025-08-25
DAM51,ALMUDIFAH,2672.44,2672.44,29921.94,2025-08-01,2025-08-25
DEZ6,ALNEMR TRAVEL,1672.64,1672.64,22264.43,2025-08-01,2025-08-25
DAM73,ALRASSAM,12833.82,12833.82,249029.48,2025-08-01,2025-08-25
KWI11,ALSAQR ALOLA,6983.46,6983.46,165865.29,2025-08-01,2025-08-25
DAM56,ALSAYED,1864.65,1864.65,11573.57,2025-08-01,2025-08-25
KWI29,ALSAYED KWI,34783.14,34783.14,742392.88,2025-08-01,2025-08-25
DAM63,ALSHAHEEN,4047.39,4047.39,66459.11,2025-08-01,2025-08-25
QHM3,ALSHAMALI,14096.47,14096.47,56905.8,2025-08-01,2025-08-25
QAJ10,ALSHOUFI TRAVEL AND TOURISM FZE,0.14,0.14,67782.15,2025-08-01,2025-08-25
DAM32,ALSHRIAA,11883.44,11883.44,106927.23,2025-08-01,2025-08-25
KWI7,ALSSAFA,6601.96,6601.96,110985.19,2025-08-01,2025-08-25
LTK3,ALTABBA,2466.44,2466.44,12563.7,2025-08-01,2025-08-25
DAM100,ALTAHADI,2918.88,2918.88,3295.45,2025-08-01,2025-08-25
DXB18,ALTAHADI DXB,343.53,343.53,1431.52,2025-08-01,2025-08-25
DAM210,ALTAHADI TOURS USD,1233.58,1233.58,1233.58,2025-08-01,2025-08-25
QAJ4,ALTAYAR,1861.0,1861.0,12917.89,2025-08-01,2025-08-25
DXB78,ALWATHEQ TRAVEL AND TOURISM LLC,594.13,594.13,5307.18,2025-08-01,2025-08-25
LTK8,APOLLO TRAVEL AND TOURISM,941.08,941.08,6743.86,2025-08-01,2025-08-25
DXB73,ARABIAN STAR TOURS LLCDXB,177.07,177.07,20581.57,2025-08-01,2025-08-25
QHM7,ASAL,221.66,221.66,2888.15,2025-08-01,2025-08-25
DAM98,ASLAN,49018.87,49018.87,340221.37,2025-08-01,2025-08-25
DXB9,ASSIL TRAVEL & TOURISM LLC,22491.92,22491.92,274260.78,2025-08-01,2025-08-25
DEZ4,ATIEA,221.66,221.66,6506.66,2025-08-01,2025-08-25
AUH16,ATLAS,1162.69,1162.69,17651.21,2025-08-01,2025-08-25
DAM159,AUNAK,1206.68,1206.68,14175.31,2025-08-01,2025-08-25
DXB16,AYAVA,1347.53,1347.53,16576.57,2025-08-01,2025-08-25
KWI31,AZYAN TRAVEL & TOURISM,7579.07,7579.07,56548.21,2025-08-01,2025-08-25
KWI35,Al Jazeera international travel & tourism,23922.86,23922.86,342881.48,2025-08-01,2025-08-25
DAM212,Almultazam usd,1140.08,1140.08,1140.08,2025-08-01,2025-08-25
AUH14,Arabian nights travel,850.2,850.2,33952.19,2025-08-01,2025-08-25
DAM110,BABYLON,956.62,956.62,11195.59,2025-08-01,2025-08-25
DXB36,DAMA SKY TOURISM,7609.32,7609.32,104772.78,2025-08-01,2025-08-25
DXB68,DAR AL SHAM TRAVEL AND TOURISM LLC,9034.13,9034.13,62093.42,2025-08-01,2025-08-25
DXB46,DAR AL ZAIN TRAVEL AND TOURISM,354.14,354.14,2024.48,2025-08-01,2025-08-25
DXB57,DARIN TRAVEL AND TOURS LLC,11390.04,11390.04,210509.53,2025-08-01,2025-08-25
AUH21,DESTINATIONS OF THE WOELD ,2852.6,2852.6,6925.25,2025-08-01,2025-08-25
SHJ9,DURAH,3714.86,3714.86,58850.6,2025-08-01,2025-08-25
DXB32,Dubai link tours,177.07,177.07,177.07,2025-08-01,2025-08-25
KWI28,EJAZA CLUB,73686.58,73686.58,1221458.1,2025-08-01,2025-08-25
DXB20,ELAF,49753.03,49753.03,785562.01,2025-08-01,2025-08-25
KWI15,FEMEX,31601.16,31601.16,709063.92,2025-08-01,2025-08-25
AUH32,FIVE G travel,279.06,279.06,25439.4,2025-08-01,2025-08-25
DXB13,FLYIN,24548.74,24548.74,340057.06,2025-08-01,2025-08-25
DAM177,FORSAN ALSHAM,419.96,419.96,3584.87,2025-08-01,2025-08-25
DAM68,GILGAMISH,6101.56,6101.56,121777.19,2025-08-01,2025-08-25
AUH11,GOLDEN LINK,2159.31,2159.31,68399.93,2025-08-01,2025-08-25
DAM156,GOLDEN SKY,30171.58,30171.58,352676.63,2025-08-01,2025-08-25
DXB26,GRANADA GATE,13425.9,13425.9,27493.31,2025-08-01,2025-08-25
DAM162,HAWA BAGHDAD,2639.37,2639.37,18540.72,2025-08-01,2025-08-25
QHS2,ILIAD,586.05,586.05,3177.04,2025-08-01,2025-08-25
DXB40,JABOR TRAVEL AND TOURISM LLC,9283.43,9283.43,205282.91,2025-08-01,2025-08-25
LTK7,JALJOUL TRAVEL & TOURISM,625.92,625.92,1502.19,2025-08-01,2025-08-25
SHJ7,JOELLE,7800.04,7800.04,308968.17,2025-08-01,2025-08-25
QHM8,LABABEDI,1027.42,1027.42,6021.89,2025-08-01,2025-08-25
DAM25,LAYAL TRAVEL,25561.93,25561.93,173853.38,2025-08-01,2025-08-25
