Agent Code,Agent Name,Station Code,Station Name,Country,Territory,Invoice Number,"Fare
","Tax

","Modify

",Surcharge,Invoice Total,Unnamed: 12,Unnamed: 13,Emails Sent,Detail,report_year,report_month
DAM189,mawakeb alsharq usd,DAM,SY-DAMASCUS,Syria,DMS,250801000180.0,"2,169.17",562.34,120.00,"1,710.00",4561.51,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
GSA2,RB GSA ALGHAITH AND ALMOUSA TA,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000045.0,"32,314.37","10,841.17",634.98,"41,502.95",85293.47,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
IST2,esb travel,IST,tr-istanbul,Turkey,IST,250801000174.0,759.00,174.27,0.00,525.00,1458.27,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DXB79,YARA DEEB TRAVEL AGENCY LLC,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000177.0,"2,032.61","1,051.74",149.88,"4,281.75",7515.98,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DAM43,SYRIAN TRAVEL & TOURISM AGENCY,DAM,SY-DAMASCUS,Syria,DMS,250801000110.0,"53,917.03","14,445.49",875.00,"39,563.50",108801.02,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DXB27,LAZURDE,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000066.0,740.82,602.90,-422.36,"2,201.98",3123.34,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DXB23,PALMYRADXB,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000183.0,-885.96,-51.22,0.00,-120.00,-1057.18,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
AUH16,ATLAS,AUH,AE-ABUDHABI,United Arab Emirates,AUH,250801000059.0,274.07,87.19,0.00,420.00,781.26,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DXB84,AL MUTAMYZON TRAVEL AND TOURISM,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000016.0,286.00,62.13,0.00,300.00,648.13,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
GSA7,SALEM TRAVEL AGENCY,AUH,AE-ABUDHABI,United Arab Emirates,AUH,250801000081.0,"18,669.01","7,200.16",421.72,"27,074.88",53365.77,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DAM186,syrian travel &touriisim usd,DAM,SY-DAMASCUS,Syria,DMS,250801000178.0,"50,967.84","12,878.77",520.00,"37,275.00",101641.61,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
AUH11,GOLDEN LINK,AUH,AE-ABUDHABI,United Arab Emirates,AUH,250801000167.0,733.26,87.47,0.00,480.00,1300.73,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DXB37,WAHET ALALMAS TRAVEL AGENCY,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000060.0,99.30,99.20,0.00,360.00,558.5,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
LTK6,ZOUHAL TRAVEL,LTK,SY-LATTAKIA,Syria,DMS,250801000099.0,"1,229.48",260.12,0.00,690.00,2179.6,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
AUH6,TAJWAL,AUH,AE-ABUDHABI,United Arab Emirates,AUH,250801000184.0,-676.48,-74.14,0.00,-240.00,-990.62,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DEZ4,ATIEA,DEZ,SY-DEREZZOUR,Syria,DMS,250801000134.0,74.00,27.66,0.00,120.00,221.66,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
