Agent/GSA Code,Agent/GSA Name,Agent IATA ,Account Code,Currency,Fare Amount,Tax Amount,Surcharge Amount,Modify Amount,Payment Amount,Refund Amount,Net Amount,To Detail,report_from_date,report_to_date
DOH1,RB DOH OFFICE,,none,USD,0.00,0.00,0.00,0.0,0.00,0.00,0.0,Detail,2023-10-25,2023-10-25
DXB1,RB DXB OFFICE,,none,USD,0.00,0.00,0.00,0.0,0.00,0.00,0.0,Detail,2023-10-25,2023-10-25
DXB11,PACK & GO TRAVEL TOURISM LLC,,DXB0002,AED,"1,136.00",182.00,881.00,0.0,"2,199.00",0.00,2199.0,Detail,2023-10-25,2023-10-25
DXB13,FLYIN,,DXB0004,AED,"4,212.00",310.00,878.00,0.0,"5,400.00",0.00,5400.0,Detail,2023-10-25,2023-10-25
DXB20,ELAF,,DXB00015,AED,405.00,155.00,440.00,0.0,"1,000.00",0.00,1000.0,Detail,2023-10-25,2023-10-25
DXB25,TOMEH,,DXB00020,AED,405.00,155.00,440.00,0.0,"1,000.00",0.00,1000.0,Detail,2023-10-25,2023-10-25
DXB26,GRANADA GATE,,DXB00021,AED,810.00,310.00,880.00,0.0,"2,000.00",0.00,2000.0,Detail,2023-10-25,2023-10-25
DXB33,WL T TRAVEL AND TOURISM,,DXB00028,AED,"1,082.00",337.00,"1,320.00",0.0,"2,739.00",0.00,2739.0,Detail,2023-10-25,2023-10-25
DXB36,DAMA SKY TOURISM,,DXB00032,AED,405.00,155.00,440.00,0.0,"1,000.00",0.00,1000.0,Detail,2023-10-25,2023-10-25
DXB39,TAJ ALSHAM FOR TOURISM LLC DXB,,00035,AED,"1,354.00",364.00,"1,760.00",0.0,"3,478.00",0.00,3478.0,Detail,2023-10-25,2023-10-25
DXB40,JABOR TRAVEL AND TOURISM LLC,,DXB 00036,AED,-676.00,-181.00,-881.00,0.0,0.00,"1,738.00",-1738.0,Detail,2023-10-25,2023-10-25
DXB43,RAMAT TRAVEL AND TOURISM DXB,,dxb00038,AED,30.00,156.00,440.00,0.0,"2,000.00","1,374.00",626.0,Detail,2023-10-25,2023-10-25
DXB53,SKY MASTER TRAVEL LLC,,DXB00046,AED,"1,136.00",182.00,881.00,0.0,"2,199.00",0.00,2199.0,Detail,2023-10-25,2023-10-25
DXB58,PHOENIQ TRAVEL AGENCY LLC,,DXB00049,AED,677.00,182.00,880.00,0.0,"1,739.00",0.00,1739.0,Detail,2023-10-25,2023-10-25
DXB9,ASSIL TRAVEL & TOURISM LLC,,DXB0008,AED,405.00,155.00,440.00,0.0,"1,000.00",0.00,1000.0,Detail,2023-10-25,2023-10-25
GSA10,DOHA OFFICE TRAVEL,,09744416,QAR,"9,661.56",818.48,"2,683.19",0.0,"13,812.42",649.19,13163.23,Detail,2023-10-25,2023-10-25
GSA10,DOHA OFFICE TRAVEL,,09744416,USD,0.00,0.00,0.00,0.0,0.00,0.00,0.0,Detail,2023-10-25,2023-10-25
GSA11,AL MARBED TRAVEL & TOURISM CO,,09640131,USD,"-4,483.61","-1,054.48","-1,550.62",0.0,0.00,"7,088.71",-7088.71,Detail,2023-10-25,2023-10-25
GSA2,RB GSA ALGHAITH AND ALMOUSA TA,,00971412,AED,"5,132.00","1,402.00","6,160.00",0.0,"12,694.00",420.00,12274.0,Detail,2023-10-25,2023-10-25
GSA2,RB GSA ALGHAITH AND ALMOUSA TA,,00971412,USD,0.00,0.00,0.00,0.0,0.00,0.00,0.0,Detail,2023-10-25,2023-10-25
GSA3,Orient Travels,,00971611,AED,"3,530.00",701.00,"3,080.00",0.0,"7,311.00",0.00,7311.0,Detail,2023-10-25,2023-10-25
GSA3,Orient Travels,,00971611,USD,0.00,0.00,0.00,0.0,0.00,0.00,0.0,Detail,2023-10-25,2023-10-25
GSA7,SALEM TRAVEL AGENCY,971213.0,00971213,AED,"5,070.00","1,092.00","5,281.00",0.0,"11,443.00",0.00,11443.0,Detail,2023-10-25,2023-10-25
GSA7,SALEM TRAVEL AGENCY,971213.0,00971213,USD,0.00,0.00,0.00,0.0,0.00,0.00,0.0,Detail,2023-10-25,2023-10-25
GSA8,ANTA Travel & Tourism,,00971670,AED,"1,553.00","1,003.00","3,957.00",0.0,"10,680.00","4,467.00",6213.0,Detail,2023-10-25,2023-10-25
GSA8,ANTA Travel & Tourism,,00971670,USD,0.00,0.00,0.00,0.0,0.00,0.00,0.0,Detail,2023-10-25,2023-10-25
HSK1,HASAKEH SALES OFFICE,,05223138,SYP,"716,597.00","25,196.00","57,791.00",0.0,"799,584.00",0.00,799584.0,Detail,2023-10-25,2023-10-25
HSK1,HASAKEH SALES OFFICE,,05223138,USD,0.00,0.00,0.00,0.0,0.00,0.00,0.0,Detail,2023-10-25,2023-10-25
KAC1,KAMESHLI SALES OFFICE,9635216.0,09635216,SYP,"1,433,195.00","-277,924.00","-805,264.00",0.0,"1,599,052.00","1,249,045.00",350007.0,Detail,2023-10-25,2023-10-25
KAC1,KAMESHLI SALES OFFICE,9635216.0,09635216,USD,0.00,0.00,0.00,0.0,0.00,0.00,0.0,Detail,2023-10-25,2023-10-25
KWI1,KUWAIT SALES OFFICE,,09652414,KWD,-382.99,-48.105,-218.57,0.0,254.50,904.16,-649.66,Detail,2023-10-25,2023-10-25
KWI1,KUWAIT SALES OFFICE,,09652414,USD,0.00,0.00,0.00,0.0,0.00,0.00,0.0,Detail,2023-10-25,2023-10-25
KWI13,ALMALEK ALDAARI,,00211,KWD,192.77,18.87,94.41,0.0,306.05,0.00,306.05,Detail,2023-10-25,2023-10-25
KWI15,FEMEX,,00213,KWD,58.88,6.01,24.10,0.0,88.99,0.00,88.99,Detail,2023-10-25,2023-10-25
KWI29,ALSAYED KWI,,00232,KWD,378.495,40.10,192.44,0.0,611.035,0.00,611.035,Detail,2023-10-25,2023-10-25
KWI32,ALKAMAL ARBIA TRAVEL&TOURISM,,kwi0021,KWD,213.43,23.555,109.43,0.0,346.415,0.00,346.415,Detail,2023-10-25,2023-10-25
LTK1,LATAKIA SALES OFFICE,,09634111,SYP,"37,870,478.00","6,422,232.00","24,291,031.00",0.0,"73,232,895.00","4,649,154.00",68583741.0,Detail,2023-10-25,2023-10-25
LTK1,LATAKIA SALES OFFICE,,09634111,USD,110.30,45.93,180.02,0.0,336.25,0.00,336.25,Detail,2023-10-25,2023-10-25
LTK2,LATAKIA AIRPORT SALES OFFICE,,09634155,SYP,"2,438,742.00","170,481.00","1,387,194.00",0.0,"3,996,417.00",0.00,3996417.0,Detail,2023-10-25,2023-10-25
LTK6,ZOUHAL TRAVEL,,ltk0063,SYP,"2,149,792.00","160,310.00","1,387,193.00",0.0,"3,697,295.00",0.00,3697295.0,Detail,2023-10-25,2023-10-25
QAJ3,UGARIT,,QAJ0003,AED,677.00,182.00,880.00,0.0,"1,739.00",0.00,1739.0,Detail,2023-10-25,2023-10-25
QDR1,DARAA SALES OFFICE,,09631510,USD,0.00,0.00,0.00,0.0,0.00,0.00,0.0,Detail,2023-10-25,2023-10-25
QHM1,HAMA SALES OFFICE,9633315.0,09633315,USD,0.00,0.00,0.00,0.0,0.00,0.00,0.0,Detail,2023-10-25,2023-10-25
QHM3,ALSHAMALI,,00197,SYP,"9,500,693.00","691,863.00","1,549,007.00",0.0,"11,741,563.00",0.00,11741563.0,Detail,2023-10-25,2023-10-25
QHM4,ALBAZ,,00205,SYP,"8,148,405.00","540,570.00","4,161,579.00",0.0,"12,850,554.00",0.00,12850554.0,Detail,2023-10-25,2023-10-25
QHM6,ALASAL,,00224,SYP,"10,488,904.00","1,679,843.00","8,322,699.00",0.0,"20,491,446.00",0.00,20491446.0,Detail,2023-10-25,2023-10-25
QHS3,ALMOHTARIF,,00209,SYP,"26,080,675.00","3,623,441.00","18,032,591.00",0.0,"47,736,707.00",0.00,47736707.0,Detail,2023-10-25,2023-10-25
QHS3,ALMOHTARIF,,00209,USD,0.00,0.00,0.00,0.0,0.00,0.00,0.0,Detail,2023-10-25,2023-10-25
QSW1,ALSOUIDAA SALES OFFICE,,09631613,SYP,"15,349,051.00","2,293,458.00","8,149,331.00",0.0,"25,791,840.00",0.00,25791840.0,Detail,2023-10-25,2023-10-25
QSW1,ALSOUIDAA SALES OFFICE,,09631613,USD,0.00,0.00,0.00,0.0,0.00,0.00,0.0,Detail,2023-10-25,2023-10-25
QTR1,TARTOUS SALES OFFICE,,09634310,SYP,"-9,939,285.00","-312,458.00","-1,582,362.00",0.0,0.00,"11,834,105.00",-11834105.0,Detail,2023-10-25,2023-10-25
QTR7,ALSAHEEL WINGS,,00193,SYP,"2,756,588.00","667,707.00","2,774,156.00",0.0,"6,198,451.00",0.00,6198451.0,Detail,2023-10-25,2023-10-25
QTR9,NAGHAM ALCHAM,,none,SYP,"3,334,489.00","687,933.00","2,774,157.00",0.0,"6,796,579.00",0.00,6796579.0,Detail,2023-10-25,2023-10-25
SHJ11,Prive Creative Travel FZE,,shj00021,AED,677.00,182.00,880.00,0.0,"1,739.00",0.00,1739.0,Detail,2023-10-25,2023-10-25
VKO1,MOSCOW SALES OFFICE,7095115.0,07095115,RUB,"-361,749.00","-17,838.00","-83,191.00",0.0,"73,170.00","541,928.00",-468758.0,Detail,2023-10-25,2023-10-25
VKO1,MOSCOW SALES OFFICE,7095115.0,07095115,USD,0.00,0.00,0.00,0.0,0.00,0.00,0.0,Detail,2023-10-25,2023-10-25
