,,AGENTS PRODUCTIVITY REPORT,,,,
,,,,Report ID :,UC_REPM_011,
From Date :,1/8/2025,,,,,
,,,,Print Date :,27/08/2025,
To Date      :,25/08/2025,,,,,
,,,,Print Time :,13.04.50,Zulu
"Agent Code
","Agent Name
",Current Sale(USD),YTD Sale for the Month(USD),YTD Sale(USD),,
DXB9,ASSIL TRAVEL & TOURISM LLC,"22,491.92","22,491.92","274,260.78",,
DEZ4,ATIEA,221.66,221.66,"6,506.66",,
AUH16,ATLAS,"1,162.69","1,162.69","17,651.21",,
DAM159,AUNAK,"1,206.68","1,206.68","14,175.31",,
DXB16,AYAVA,"1,347.53","1,347.53","16,576.57",,
KWI31,AZYAN TRAVEL & TOURISM,"7,579.07","7,579.07","56,548.21",,
KWI35,Al Jazeera international travel & tourism,"23,922.86","23,922.86","342,881.48",,
DAM212,Almultazam usd,"1,140.08","1,140.08","1,140.08",,
AUH14,Arabian nights travel,850.2,850.2,"33,952.19",,
DAM110,BABYLON,956.62,956.62,"11,195.59",,
DXB36,DAMA SKY TOURISM,"7,609.32","7,609.32","104,772.78",,
DXB68,DAR AL SHAM TRAVEL AND TOURISM LLC,"9,034.13","9,034.13","62,093.42",,
DXB46,DAR AL ZAIN TRAVEL AND TOURISM,354.14,354.14,"2,024.48",,
DXB57,DARIN TRAVEL AND TOURS LLC,"11,390.04","11,390.04","210,509.53",,
AUH21,DESTINATIONS OF THE WOELD ,"2,852.60","2,852.60","6,925.25",,
SHJ9,DURAH,"3,714.86","3,714.86","58,850.60",,
DXB32,Dubai link tours,177.07,177.07,177.07,,
KWI28,EJAZA CLUB,"73,686.58","73,686.58","1,221,458.10",,
DXB20,ELAF,"49,753.03","49,753.03","785,562.01",,
KWI15,FEMEX,"31,601.16","31,601.16","709,063.92",,
AUH32,FIVE G travel,279.06,279.06,"25,439.40",,
DXB13,FLYIN,"24,548.74","24,548.74","340,057.06",,
DAM177,FORSAN ALSHAM,419.96,419.96,"3,584.87",,
DAM68,GILGAMISH,"6,101.56","6,101.56","121,777.19",,
AUH11,GOLDEN LINK,"2,159.31","2,159.31","68,399.93",,
DAM156,GOLDEN SKY,"30,171.58","30,171.58","352,676.63",,
DXB26,GRANADA GATE,"13,425.90","13,425.90","27,493.31",,
DAM162,HAWA BAGHDAD,"2,639.37","2,639.37","18,540.72",,
QHS2,ILIAD,586.05,586.05,"3,177.04",,
DXB40,JABOR TRAVEL AND TOURISM LLC,"9,283.43","9,283.43","205,282.91",,
LTK7,JALJOUL TRAVEL & TOURISM,625.92,625.92,"1,502.19",,
SHJ7,JOELLE,"7,800.04","7,800.04","308,968.17",,
QHM8,LABABEDI,"1,027.42","1,027.42","6,021.89",,
DAM25,LAYAL TRAVEL,"25,561.93","25,561.93","173,853.38",,
DXB27,LAZURDE,"6,705.00","6,705.00","92,425.68",,
DAM109,LUXOR,"6,455.24","6,455.24","71,411.38",,
QAJ2,MAJD,"29,116.08","29,116.08","272,622.86",,
,Total,"3,356,316.99","3,356,316.99","44,215,299.96",,
Syrian Air Reservation System,,,,,,
,,,,,Page 1 of ,1
*** End of Report ***,,,,,,
