Flight Date,Flight No,Segment,COS,Seats Allocate,Over sell,Curtailed,Seats Sold,On Hold,Fixed,Seats Available,Fare Collection(USD),Seat Factor,Sur Charge,Flight Status,Baggage ,Sold Seats ,Ava.Seats 
8/19/2025,RB502,SHJ/DAM,C,12,0,0,0,0,0,12,0,0%,0,ACT,0,0,12
8/19/2025,RB502,SHJ/DAM,Y,145,0,0,34,0,0,111,"1,573.61",23%,0,ACT,0,34,111
8/20/2025,RB505,DAM/SHJ,C,12,0,0,7,0,0,5,"2,745.93",58%,0,ACT,0,7,5
8/20/2025,RB505,DAM/SHJ,Y,145,0,0,132,0,0,13,"19,381.89",91%,0,ACT,0,132,13
8/20/2025,RB515,DAM/DXB,C,12,0,0,1,0,0,11,255,8%,0,ACT,0,1,11
8/20/2025,RB515,DAM/DXB,Y,145,0,0,143,0,0,2,"21,202.69",99%,0,ACT,0,143,2
8/20/2025,RB389,DAM/RUH,C,12,0,0,11,0,0,1,"3,437.63",92%,0,ACT,0,11,1
8/20/2025,RB389,DAM/RUH,Y,148,0,0,141,0,0,7,"26,355.15",95%,0,ACT,0,141,7
8/20/2025,RB390,RUH/DAM,C,12,0,0,0,0,0,12,0,0%,0,ACT,0,0,12
8/20/2025,RB390,RUH/DAM,Y,148,0,0,41,0,0,107,"3,565.87",28%,0,ACT,0,41,107
8/20/2025,RB506,SHJ/DAM,C,12,0,0,4,0,0,8,"1,452.84",33%,0,ACT,0,4,8
8/20/2025,RB506,SHJ/DAM,Y,145,0,0,82,0,0,63,"5,463.55",57%,0,ACT,0,82,63
8/20/2025,RB516,DXB/DAM,C,12,0,0,4,0,0,8,"1,555.23",33%,0,ACT,0,4,8
8/20/2025,RB516,DXB/DAM,Y,145,0,0,60,0,0,85,"4,168.86",41%,0,ACT,0,60,85
8/20/2025,RB521,DAM/DOH,C,12,0,0,12,0,0,0,"3,792.97",100%,0,ACT,0,12,0
8/20/2025,RB521,DAM/DOH,Y,148,0,0,148,0,0,0,"23,831.86",100%,0,ACT,0,148,0
8/20/2025,RB501,DAM/SHJ,C,12,0,0,7,0,0,5,"2,200.40",58%,0,ACT,0,7,5
8/20/2025,RB501,DAM/SHJ,Y,145,0,0,143,0,0,2,"23,076.39",99%,0,ACT,0,143,2
8/20/2025,RB443,DAM/IST,C,12,0,0,4,0,0,8,831,33%,0,ACT,0,4,8
