,,,,SEAT INVENTORY AND COLLECTIONS,,,,,,,,,,,,,
Report ID,: UC_REPM_015,,,,,,,,,,,,,,,,
From Date,: 25/10/2023,,,,,,,,,,Print Date :,21/09/2,,,,,
To Date,: 25/10/2025,,,,,,,,,,Print Time :,10:27:,Zulu,,,,
Flight Date,Flight No,Segment,COS,Seats Allocate,Over sell,Curtailed,Seats Sold,On Hold,Fixed,Seats Available,Fare Collection(USD),Seat Factor,Sur Charge,Flight Status,Baggage ,Sold Seats ,Ava.Seats 
10/29/2023,RB1501,LTK/SHJ,Y,144,0,0,0,0,0,49,0.00,0 %,0.00,ACT,0.00,0,144
10/29/2023,RB502,SHJ/LTK,C,11,0,0,0,0,0,10,0.00,0 %,0.00,ACT,0.00,0,11
10/29/2023,RB502,SHJ/LTK,Y,144,0,0,0,0,0,98,0.00,0 %,0.00,ACT,0.00,0,144
10/29/2023,RB442,VKO/LTK,C,27,0,0,0,0,0,20,0.00,0 %,0.00,ACT,0.00,0,27
10/29/2023,RB442,VKO/LTK,Y,250,0,0,0,0,0,173,0.00,0 %,0.00,ACT,0.00,0,250
10/30/2023,RB515,LTK/DXB,C,27,0,0,0,0,0,20,0.00,0 %,0.00,ACT,0.00,0,27
10/30/2023,RB515,LTK/DXB,Y,250,0,0,0,0,0,21,0.00,0 %,0.00,ACT,0.00,0,250
10/30/2023,RB201,DAM/CAI,C,11,0,0,0,0,0,10,0.00,0 %,0.00,ACT,0.00,0,11
10/30/2023,RB201,DAM/CAI,Y,144,0,0,0,0,0,141,0.00,0 %,0.00,ACT,0.00,0,144
10/30/2023,RB202,CAI/DAM,C,11,0,0,0,0,0,11,0.00,0 %,0.00,ACT,0.00,0,11
10/30/2023,RB202,CAI/DAM,Y,144,0,0,0,0,0,144,0.00,0 %,0.00,ACT,0.00,0,144
10/30/2023,RB516,DXB/LTK,C,27,0,0,0,0,0,21,0.00,0 %,0.00,ACT,0.00,0,27
10/30/2023,RB516,DXB/LTK,Y,250,0,0,0,0,0,157,0.00,0 %,0.00,ACT,0.00,0,250
10/31/2023,RB501,LTK/SHJ,C,11,0,0,0,0,0,5,0.00,0 %,0.00,ACT,0.00,0,11
10/31/2023,RB501,LTK/SHJ,Y,144,0,0,0,0,0,8,0.00,0 %,0.00,ACT,0.00,0,144
10/31/2023,RB503,LTK/AUH,C,11,0,0,0,0,0,7,0.00,0 %,0.00,ACT,0.00,0,11
10/31/2023,RB503,LTK/AUH,Y,144,0,0,0,0,0,15,0.00,0 %,0.00,ACT,0.00,0,144
10/31/2023,RB502,SHJ/LTK,C,11,0,0,0,0,0,8,0.00,0 %,0.00,ACT,0.00,0,11
10/31/2023,RB502,SHJ/LTK,Y,144,0,0,0,0,0,94,0.00,0 %,0.00,ACT,0.00,0,144
10/31/2023,RB504,AUH/LTK,C,11,0,0,0,0,0,10,0.00,0 %,0.00,ACT,0.00,0,11
10/31/2023,RB504,AUH/LTK,Y,144,0,0,0,0,0,74,0.00,0 %,0.00,ACT,0.00,0,144
11/01/2023,RB521,LTK/DOH,C,11,0,0,0,0,0,10,0.00,0 %,0.00,ACT,0.00,0,11
11/01/2023,RB521,LTK/DOH,Y,144,0,0,0,0,0,42,0.00,0 %,0.00,ACT,0.00,0,144
11/01/2023,RB515,LTK/DXB,C,27,0,0,0,0,0,16,0.00,0 %,0.00,ACT,0.00,0,27
11/01/2023,RB515,LTK/DXB,Y,254,0,0,0,0,0,12,0.00,0 %,0.00,ACT,0.00,0,254
11/01/2023,RB522,DOH/LTK,C,11,0,0,0,0,0,10,0.00,0 %,0.00,ACT,0.00,0,11
11/01/2023,RB522,DOH/LTK,Y,144,0,0,0,0,0,29,0.00,0 %,0.00,ACT,0.00,0,144
11/01/2023,RB201,DAM/CAI,C,11,0,0,0,0,0,10,0.00,0 %,0.00,ACT,0.00,0,11
11/01/2023,RB201,DAM/CAI,Y,144,0,0,0,0,0,140,0.00,0 %,0.00,ACT,0.00,0,144
11/01/2023,RB516,DXB/LTK,C,27,0,0,0,0,0,13,0.00,0 %,0.00,ACT,0.00,0,27
11/01/2023,RB516,DXB/LTK,Y,254,0,0,0,0,0,150,0.00,0 %,0.00,ACT,0.00,0,254
11/01/2023,RB202,CAI/DAM,C,11,0,0,0,0,0,11,0.00,0 %,0.00,ACT,0.00,0,11
11/01/2023,RB202,CAI/DAM,Y,144,0,0,0,0,0,144,0.00,0 %,0.00,ACT,0.00,0,144
11/02/2023,RB515,LTK/DXB,C,27,0,0,0,0,0,22,0.00,0 %,0.00,ACT,0.00,0,27
11/02/2023,RB515,LTK/DXB,Y,254,0,0,0,0,0,98,0.00,0 %,0.00,ACT,0.00,0,254
11/02/2023,RB341,LTK/KWI,C,11,0,0,0,0,0,9,0.00,0 %,0.00,ACT,0.00,0,11
11/02/2023,RB341,LTK/KWI,Y,144,0,0,0,0,0,81,0.00,0 %,0.00,ACT,0.00,0,144
11/02/2023,RB342,KWI/LTK,C,11,0,0,0,0,0,9,0.00,0 %,0.00,ACT,0.00,0,11
11/02/2023,RB342,KWI/LTK,Y,144,0,0,0,0,0,81,0.00,0 %,0.00,ACT,0.00,0,144
11/02/2023,RB516,DXB/LTK,C,27,0,0,0,0,0,25,0.00,0 %,0.00,ACT,0.00,0,27
11/02/2023,RB516,DXB/LTK,Y,254,0,0,0,0,0,152,0.00,0 %,0.00,ACT,0.00,0,254
11/02/2023,RB201,DAM/CAI,C,11,0,0,0,0,0,11,0.00,0 %,0.00,ACT,0.00,0,11
11/02/2023,RB201,DAM/CAI,Y,144,0,0,0,0,0,136,0.00,0 %,0.00,ACT,0.00,0,144
11/02/2023,RB202,CAI/DAM,C,11,0,0,0,0,0,11,0.00,0 %,0.00,ACT,0.00,0,11
11/02/2023,RB202,CAI/DAM,Y,144,0,0,0,0,0,144,0.00,0 %,0.00,ACT,0.00,0,144
11/02/2023,RB531,DAM/BGW,C,11,0,0,0,0,0,11,0.00,0 %,0.00,ACT,0.00,0,11
11/02/2023,RB531,DAM/BGW,Y,144,0,0,0,0,0,144,0.00,0 %,0.00,ACT,0.00,0,144
11/02/2023,RB532,BGW/DAM,C,11,0,0,0,0,0,11,0.00,0 %,0.00,ACT,0.00,0,11
11/02/2023,RB532,BGW/DAM,Y,144,0,0,0,0,0,143,0.00,0 %,0.00,ACT,0.00,0,144
11/03/2023,RB121,DAM/KAC,C,11,0,0,0,0,0,11,0.00,0 %,0.00,ACT,0.00,0,11
11/03/2023,RB121,DAM/KAC,Y,144,0,0,0,0,0,144,0.00,0 %,0.00,ACT,0.00,0,144
11/03/2023,RB501,LTK/SHJ,C,11,0,0,0,0,0,10,0.00,0 %,0.00,ACT,0.00,0,11
11/03/2023,RB501,LTK/SHJ,Y,144,0,0,0,0,0,18,0.00,0 %,0.00,ACT,0.00,0,144
11/03/2023,RB122,KAC/DAM,C,11,0,0,0,0,0,11,0.00,0 %,0.00,ACT,0.00,0,11
11/03/2023,RB122,KAC/DAM,Y,144,0,0,0,0,0,141,0.00,0 %,0.00,ACT,0.00,0,144
11/03/2023,RB503,LTK/AUH,C,11,0,0,0,0,0,5,0.00,0 %,0.00,ACT,0.00,0,11
11/03/2023,RB503,LTK/AUH,Y,144,0,0,0,0,0,12,0.00,0 %,0.00,ACT,0.00,0,144
11/03/2023,RB502,SHJ/LTK,C,11,0,0,0,0,0,11,0.00,0 %,0.00,ACT,0.00,0,11
11/03/2023,RB502,SHJ/LTK,Y,144,0,0,0,0,0,77,0.00,0 %,0.00,ACT,0.00,0,144
11/03/2023,RB504,AUH/LTK,C,11,0,0,0,0,0,10,0.00,0 %,0.00,ACT,0.00,0,11
11/03/2023,RB504,AUH/LTK,Y,144,0,0,0,0,0,61,0.00,0 %,0.00,ACT,0.00,0,144
