,,COMPANY PAYMENTS,,,,,,,,,,
,,Summary Report,,,,,,,,,,
From Date,01/01/2025,,,,,,,,,Report ID,UC_REPM_02,
To Date,22/09/2025,,,,,,,,,Print Date,24/09/2025,
Entity,Reservation,,,,,,,,,Print Time,15:13:46,ZULU
Agent/GSA Code,Agent/GSA Name,Agent IATA ,Account Code,Currency,Fare Amount,Tax Amount,Surcharge Amount,Modify Amount,Payment Amount,Refund Amount,Net Amount,To Detail
DAM159,AUNAK,,00152,SYP,"85,748,994.00","19,620,436.00","56,962,294.00",0.00,"162,331,724.00",0.00,"162,331,724.00",Detail
DAM159,AUNAK,,00152,USD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Detail
DAM160,KANATH,,00156,SYP,"2,034,273.00","348,369.00","1,326,700.00",0.00,"3,709,342.00",0.00,"3,709,342.00",Detail
DAM161,DARINAHOLIDAYS,,00154,SYP,"19,401,721.00","4,548,337.00","14,201,472.00",0.00,"38,151,530.00",0.00,"38,151,530.00",Detail
DAM162,HAWA BAGHDAD,,0010,SYP,"119,167,131.00","26,968,970.00","79,433,678.00",0.00,"246,022,515.00","20,452,736.00","225,569,779.00",Detail
DAM162,HAWA BAGHDAD,,0010,USD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Detail
DAM163,SYRIASTORY,,00156,SYP,"3,980,099.00","1,088,336.00","3,482,587.00",0.00,"8,551,022.00",0.00,"8,551,022.00",Detail
DAM164,SHUAA ALHARAMAYN,,00157,SYP,"3,105,141.00","1,149,917.00","2,487,562.00",0.00,"6,742,620.00",0.00,"6,742,620.00",Detail
DAM165,AYOUBI,,00158,SYP,"43,286,297.00","7,674,351.00","26,504,718.00",0.00,"77,465,366.00",0.00,"77,465,366.00",Detail
DAM165,AYOUBI,,00158,USD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Detail
DAM167,SYRIAN SUN,,00160,SYP,"20,316,216.00","4,011,585.00","11,872,197.00",0.00,"36,199,998.00",0.00,"36,199,998.00",Detail
DAM167,SYRIAN SUN,,00160,USD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Detail
DAM170,ALNUJOOM ALMASIYA,,00163,SYP,"2,034,273.00","348,369.00","1,326,700.00",0.00,"3,709,342.00",0.00,"3,709,342.00",Detail
DAM174,SOBOL FOR TRAVEL AND TOURISM,,00167,SYP,"78,702,730.00","16,349,927.00","42,646,904.00",0.00,"137,699,561.00",0.00,"137,699,561.00",Detail
DAM175,HALA ALTAMYEEZ,,00168,SYP,"11,898,864.00","1,330,614.00","4,786,862.00",0.00,"18,016,340.00",0.00,"18,016,340.00",Detail
DAM177,FORSAN ALSHAM,,00170,SYP,"21,952,108.00","4,037,573.00","10,914,437.00",0.00,"41,547,125.00","4,643,007.00","36,904,118.00",Detail
DAM178,TALAQI,,00171,SYP,"120,181,403.00","22,170,640.00","56,187,283.00",0.00,"212,607,479.00","14,068,153.00","198,539,326.00",Detail
DAM178,TALAQI,,00171,USD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Detail
DAM179,JIBALALSARAWAT,,00172,SYP,"2,448,143.00","402,918.00","904,487.00",0.00,"3,755,548.00",0.00,"3,755,548.00",Detail
DAM18,call center,,000008,USD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Detail
DAM181,ALHEMED,,0022,SYP,"79,010,789.00","17,158,363.00","56,020,445.00",0.00,"155,898,939.00","3,709,342.00","152,189,597.00",Detail
DAM181,ALHEMED,,0022,USD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Detail
DAM186,syrian travel &touriisim usd,,00200,USD,"784,451.89","152,775.58","425,458.83",0.00,"1,443,113.61","80,427.31","1,362,686.30",Detail
DAM187,orfali usd,,000201,USD,"52,805.37","9,801.33","25,440.00",0.00,"89,014.90",968.20,"88,046.70",Detail
DAM188,aldawlyusd,,00202,USD,"36,504.51","6,689.50","19,410.00",0.00,"69,683.09","7,079.08","62,604.01",Detail
DAM189,mawakeb alsharq usd,,00203,USD,"38,283.56","8,100.95","21,903.25",0.00,"74,565.70","6,277.94","68,287.76",Detail
DAM190,syria link usd,,00204,USD,"166,991.04","35,593.79","98,839.82",0.00,"313,537.18","12,112.53","301,424.65",Detail
DAM191,top trip,,00207,SYP,"27,463,020.00","4,901,313.00","10,100,845.00",0.00,"42,465,178.00",0.00,"42,465,178.00",Detail
DAM192,gilgamesh diamond,,00208,SYP,"242,978,656.00","54,303,029.00","152,736,329.00",0.00,"464,002,756.00","13,984,742.00","450,018,014.00",Detail
DAM192,gilgamesh diamond,,00208,USD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Detail
DAM193,yas usd,,00209,USD,"24,303.57","5,248.06","14,790.00",0.00,"45,282.44",990.81,"44,291.63",Detail
DAM194,taj almasa usd,,dam00300,USD,"73,851.10","16,311.18","44,610.00",0.00,"146,394.19","11,711.91","134,682.28",Detail
DAM195,shilan usd,,dam00301,USD,"4,844.24","1,146.48","3,165.00",0.00,"9,576.81",421.09,"9,155.72",Detail
DAM196,advanced usd,,dam00304,USD,"6,526.87","1,696.88","4,890.00",0.00,"13,113.75",0.00,"13,113.75",Detail
DAM197,babylon usd,,dam00305,USD,"1,147.75",208.72,525.00,0.00,"1,881.47",0.00,"1,881.47",Detail
