,,RESERVATION BREAKDOWN,,,,,,
,,Summary Report,,,,,,
,,,,,,Report ID :,UC_REPM_001,
From Date,: 01/08/2025,,,,,Print Date :,30/08/2025,
To Date,: 30/08/2025,,,,,Print Time :,11.34.27,Zulu
Travel Agent ,Travel Agent Name,Fare(USD),Taxes(USD),Surcharges(USD),Total(USD),Refund(USD),To Detail,
QDR8,ALMANASEK,143,28.71,75,246.71,0,Detail,
QHS3,ALMOHTARIF,"5,091.28","1,020.83","3,465.00","9,577.11",0,Detail,
AUH10,ALMOUED,562.48,223.46,840,"1,625.94",0,Detail,
DAM51,ALMUDIFAH,"1,784.67",395.24,"1,035.00","3,214.91",360.09,Detail,
DEZ6,ALNEMR TRAVEL,"1,420.00",258.64,525,"2,203.64",0,Detail,
DAM73,ALRASSAM,"7,566.65","2,051.75","6,015.00","15,633.40",215.49,Detail,
KWI11,ALSAQR ALOLA,"3,414.24",867.97,"2,980.25","7,262.46",0,Detail,
DAM56,ALSAYED,"1,425.00",245.53,660,"2,330.53",0,Detail,
KWI29,ALSAYED KWI,"19,391.68","4,310.86","16,885.63","40,588.17",0,Detail,
DAM63,ALSHAHEEN,"2,621.42",551.79,"1,485.00","4,658.21",0,Detail,
QHM3,ALSHAMALI,"8,206.46","1,885.12","5,970.00","16,061.58",0,Detail,
DAM32,ALSHRIAA,"6,477.12","1,391.32","3,990.00","11,858.44",0,Detail,
KWI7,ALSSAFA,"3,586.88",802.59,"2,982.75","7,372.22",0,Detail,
LTK3,ALTABBA,935,331.44,"1,200.00","2,466.44",0,Detail,
DAM100,ALTAHADI,"1,714.90",363.98,840,"2,918.88",0,Detail,
DXB18,ALTAHADI DXB,186.46,37.07,120,343.53,0,Detail,
DAM210,ALTAHADI TOURS USD,466.6,181.98,585,"1,233.58",0,Detail,
QAJ4,ALTAYAR,290.3,370.7,"1,200.00","1,861.00",0,Detail,
DXB78,ALWATHEQ TRAVEL AND TOURISM LLC,232,62.13,300,594.13,0,Detail,
LTK8,APOLLO TRAVEL AND TOURISM,637,159.65,600,"1,396.65",0,Detail,
DXB73,ARABIAN STAR TOURS LLCDXB,20,37.07,120,177.07,0,Detail,
QHM7,ASAL,74,27.66,120,221.66,0,Detail,
DAM98,ASLAN,"28,581.16","6,704.53","20,493.25","55,778.94",844.83,Detail,
DXB9,ASSIL TRAVEL & TOURISM LLC,"7,851.89","3,604.27","13,258.50","24,714.66",0,Detail,
DEZ4,ATIEA,"1,292.00",248.63,645,"2,185.63",0,Detail,
AUH16,ATLAS,353.37,149.32,660,"1,162.69",0,Detail,
DAM159,AUNAK,747,99.68,360,"1,206.68",0,Detail,
DXB16,AYAVA,424.56,217.97,705,"1,347.53",0,Detail,
KWI31,AZYAN TRAVEL & TOURISM,"4,495.31","1,201.66","3,301.25","8,998.22",0,Detail,
KWI35,Al Jazeera international travel & tourism,"12,026.80","2,534.38","9,858.00","24,419.18",218.85,Detail,
DAM211,Almultazam,496.63,91.18,225,812.81,0,Detail,
DAM212,Almultazam usd,596,124.08,420,"1,140.08",0,Detail,
AUH14,Arabian nights travel,331,99.2,510,940.2,0,Detail,
DAM110,BABYLON,536.98,104.64,315,956.62,0,Detail,
