,,,,INVOICE SUMMARY ,,,,,,,,,,,
,,,,Summary Report,,,,,,,,,,,
Period  : 1,,,,,,,,,,,,,,,
,,,,,,,,,,,Report ID :,UC_REPM_00,,,
Month  : 08,,,,,,,,,,,,,,,
,,,,,,,,,,,Print Date :,28/08/2025,,,
Year     : 2025,,,,,,,,,,,,,,,
,,,,,,,,,,,Print Time :,10.59.26,,Zulu,
Entity   : Reservation,,,,,,,,,,,,,,,
Agent Code,Agent Name,Station Code,Station Name,Country,Territory,Invoice Number,"Fare
","Tax

","Modify

",Surcharge,Invoice Total,,,Emails Sent,Detail
DXB79,YARA DEEB TRAVEL AGENCY LLC,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000177,"2,032.61","1,051.74",149.88,"4,281.75","7,515.98",,,0,Detail
DAM43,SYRIAN TRAVEL & TOURISM AGENCY,DAM,SY-DAMASCUS,Syria,DMS,250801000110,"53,917.03","14,445.49",875.00,"39,563.50","108,801.02",,,0,Detail
DXB27,LAZURDE,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000066,740.82,602.90,-422.36,"2,201.98","3,123.34",,,0,Detail
DXB23,PALMYRADXB,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000183,-885.96,-51.22,0.00,-120.00,"-1,057.18",,,0,Detail
AUH16,ATLAS,AUH,AE-ABUDHABI,United Arab Emirates,AUH,250801000059,274.07,87.19,0.00,420.00,781.26,,,0,Detail
DXB84,AL MUTAMYZON TRAVEL AND TOURISM,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000016,286.00,62.13,0.00,300.00,648.13,,,0,Detail
GSA7,SALEM TRAVEL AGENCY,AUH,AE-ABUDHABI,United Arab Emirates,AUH,250801000081,"18,669.01","7,200.16",421.72,"27,074.88","53,365.77",,,0,Detail
DAM186,syrian travel &touriisim usd,DAM,SY-DAMASCUS,Syria,DMS,250801000178,"50,967.84","12,878.77",520.00,"37,275.00","101,641.61",,,0,Detail
AUH11,GOLDEN LINK,AUH,AE-ABUDHABI,United Arab Emirates,AUH,250801000167,733.26,87.47,0.00,480.00,"1,300.73",,,0,Detail
DXB37,WAHET ALALMAS TRAVEL AGENCY,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000060,99.30,99.20,0.00,360.00,558.50,,,0,Detail
LTK6,ZOUHAL TRAVEL,LTK,SY-LATTAKIA,Syria,DMS,250801000099,"1,229.48",260.12,0.00,690.00,"2,179.60",,,0,Detail
AUH6,TAJWAL,AUH,AE-ABUDHABI,United Arab Emirates,AUH,250801000184,-676.48,-74.14,0.00,-240.00,-990.62,,,0,Detail
DEZ4,ATIEA,DEZ,SY-DEREZZOUR,Syria,DMS,250801000134,74.00,27.66,0.00,120.00,221.66,,,0,Detail
DXB70,ALASAL TOURISM & TRAVEL LLC,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000041,"4,902.45","1,619.75",33.65,"5,648.34","12,204.19",,,0,Detail
GSA19,ISTEHKAK FOR TOURISM SERVICES,MJI,Trablous,Libya,MJI,250801000017,"10,660.60",140.70,0.00,"3,000.00","13,801.30",,,0,Detail
QHM3,ALSHAMALI,QHM,SY-HAMA,Syria,DMS,250801000133,"5,230.81","1,308.39",0.00,"3,330.00","9,869.20",,,0,Detail
DXB58,PHOENIQ TRAVEL AGENCY LLC,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000102,"3,761.31",983.52,40.88,"3,840.00","8,625.71",,,0,Detail
DAM69,ORFALI,DAM,SY-DAMASCUS,Syria,DMS,250801000005,"1,235.46",373.60,274.81,"1,140.00","3,023.87",,,0,Detail
DAM200,jabri usd,DAM,SY-DAMASCUS,Syria,DMS,250801000151,"5,020.91","1,412.97",50.00,"4,275.00","10,758.88",,,0,Detail
DXB62,SWEN TOURISM,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000062,"1,935.59",570.14,0.00,"2,160.00","4,665.73",,,0,Detail
DAM190,syria link usd,DAM,SY-DAMASCUS,Syria,DMS,250801000072,"22,095.14","5,680.96",150.00,"16,635.00","44,561.10",,,0,Detail
